Название,Жанр,Режиссёр,Страна,Год,URL
"Что нового, киска?",эксцентрическая комедия,"Клайв Доннер , Ричард Талмадж (режиссёр эпизода)",Франция США,1965,"https://ru.wikipedia.org/wiki/%D0%A7%D1%82%D0%BE_%D0%BD%D0%BE%D0%B2%D0%BE%D0%B3%D0%BE,_%D0%BA%D0%B8%D1%81%D0%BA%D0%B0%3F"
Шайтан,"комедия, ужасы, триллер",Ким Шапирон,Франция,2006,https://ru.wikipedia.org/wiki/%D0%A8%D0%B0%D0%B9%D1%82%D0%B0%D0%BD_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Шакалы,трэш,Хабиб Файзиев,СССР,1989,https://ru.wikipedia.org/wiki/%D0%A8%D0%B0%D0%BA%D0%B0%D0%BB%D1%8B_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
"Иона, или Художник за работой","драма, притча, короткометражный",Александр Кайдановский,СССР,1984,"https://ru.wikipedia.org/wiki/%D0%98%D0%BE%D0%BD%D0%B0,_%D0%B8%D0%BB%D0%B8_%D0%A5%D1%83%D0%B4%D0%BE%D0%B6%D0%BD%D0%B8%D0%BA_%D0%B7%D0%B0_%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D0%BE%D0%B9_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)"
Шагни через границу,документальный,Николас Гумберт Вернер Пенцель,"Германия , Швеция",1990,https://ru.wikipedia.org/wiki/%D0%A8%D0%B0%D0%B3%D0%BD%D0%B8_%D1%87%D0%B5%D1%80%D0%B5%D0%B7_%D0%B3%D1%80%D0%B0%D0%BD%D0%B8%D1%86%D1%83
Шагреневая кость,авангард,Игорь Безруков,Россия,1992,https://ru.wikipedia.org/wiki/%D0%A8%D0%B0%D0%B3%D1%80%D0%B5%D0%BD%D0%B5%D0%B2%D0%B0%D1%8F_%D0%BA%D0%BE%D1%81%D1%82%D1%8C_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Шаги по воде,драма,Лорен Химмель,США,2001,https://ru.wikipedia.org/wiki/%D0%A8%D0%B0%D0%B3%D0%B8_%D0%BF%D0%BE_%D0%B2%D0%BE%D0%B4%D0%B5
Русалка в Париже,фэнтезийный фильм,Матиас Мальзьё,Франция,2020,https://ru.wikipedia.org/wiki/%D0%A0%D1%83%D1%81%D0%B0%D0%BB%D0%BA%D0%B0_%D0%B2_%D0%9F%D0%B0%D1%80%D0%B8%D0%B6%D0%B5
Шагал — Малевич,"фильм-биография, исторический фильм, киноповесть",Александр Митта,Россия,2014,https://ru.wikipedia.org/wiki/%D0%A8%D0%B0%D0%B3%D0%B0%D0%BB_%E2%80%94_%D0%9C%D0%B0%D0%BB%D0%B5%D0%B2%D0%B8%D1%87
Шаги в темноте,"комедия, детектив",Ллойд Бэкон,США,1941,https://ru.wikipedia.org/wiki/%D0%A8%D0%B0%D0%B3%D0%B8_%D0%B2_%D1%82%D0%B5%D0%BC%D0%BD%D0%BE%D1%82%D0%B5
Шаг навстречу,"комедия, мелодрама",Наум Бирман,СССР,1975,https://ru.wikipedia.org/wiki/%D0%A8%D0%B0%D0%B3_%D0%BD%D0%B0%D0%B2%D1%81%D1%82%D1%80%D0%B5%D1%87%D1%83
