Название,Жанр,Режиссёр,Страна,Год,URL
Шинель,"драматический фильм, немое кино",Григорий Козинцев Леонид Трауберг,СССР,1926,"https://ru.wikipedia.org/wiki/%D0%A8%D0%B8%D0%BD%D0%B5%D0%BB%D1%8C_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1926)"
Ширли-мырли,"фарс, криминальная комедия, эксцентрическая комедия",Владимир Меньшов,Россия,1995,https://ru.wikipedia.org/wiki/%D0%A8%D0%B8%D1%80%D0%BB%D0%B8-%D0%BC%D1%8B%D1%80%D0%BB%D0%B8
«Шинель»,драма,Алексей Баталов,СССР,1959,"https://ru.wikipedia.org/wiki/%D0%A8%D0%B8%D0%BD%D0%B5%D0%BB%D1%8C_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1959)"
Шина — королева джунглей,приключенческий фильм,Джон Гиллермин,Великобритания США,1984,https://ru.wikipedia.org/wiki/%D0%A8%D0%B8%D0%BD%D0%B0_%E2%80%94_%D0%BA%D0%BE%D1%80%D0%BE%D0%BB%D0%B5%D0%B2%D0%B0_%D0%B4%D0%B6%D1%83%D0%BD%D0%B3%D0%BB%D0%B5%D0%B9
Ширли,"фильм-триллер, биографический фильм, драматический фильм",Жозефин Декер,США,2020,https://ru.wikipedia.org/wiki/%D0%A8%D0%B8%D1%80%D0%BB%D0%B8_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Ыт,"драма, комедия, мелодрама",Степан Бурнашёв Дмитрий Давыдов,Россия,2021,https://ru.wikipedia.org/wiki/%D0%AB%D1%82_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Шум и ярость,драма,Джеймс Франко,США,2014,https://ru.wikipedia.org/wiki/%D0%A8%D1%83%D0%BC_%D0%B8_%D1%8F%D1%80%D0%BE%D1%81%D1%82%D1%8C_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Эбботт и Костелло в Иностранном легионе,комедия,Чарльз Ламонт,США,1950,https://ru.wikipedia.org/wiki/%D0%AD%D0%B1%D0%B1%D0%BE%D1%82%D1%82_%D0%B8_%D0%9A%D0%BE%D1%81%D1%82%D0%B5%D0%BB%D0%BB%D0%BE_%D0%B2_%D0%98%D0%BD%D0%BE%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%BD%D0%BE%D0%BC_%D0%BB%D0%B5%D0%B3%D0%B8%D0%BE%D0%BD%D0%B5
Щит и меч,"военный фильм, драма",Владимир Басов,СССР,1968,https://ru.wikipedia.org/wiki/%D0%A9%D0%B8%D1%82_%D0%B8_%D0%BC%D0%B5%D1%87_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Шум и ярость,драма,Мартин Ритт,США,1959,"https://ru.wikipedia.org/wiki/%D0%A8%D1%83%D0%BC_%D0%B8_%D1%8F%D1%80%D0%BE%D1%81%D1%82%D1%8C_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1959)"
Эбботт и Костелло в Голливуде,комедия,С. Силвэн Саймон,США,1945,https://ru.wikipedia.org/wiki/%D0%AD%D0%B1%D0%B1%D0%BE%D1%82%D1%82_%D0%B8_%D0%9A%D0%BE%D1%81%D1%82%D0%B5%D0%BB%D0%BB%D0%BE_%D0%B2_%D0%93%D0%BE%D0%BB%D0%BB%D0%B8%D0%B2%D1%83%D0%B4%D0%B5
Эбби,фильм ужасов,Уильям Гирдлер,США,1974,https://ru.wikipedia.org/wiki/%D0%AD%D0%B1%D0%B1%D0%B8_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Эбботт и Костелло встречают доктора Джекилла и мистера Хайда,чёрная комедия,Чарльз Ламонт,США,1953,https://ru.wikipedia.org/wiki/%D0%AD%D0%B1%D0%B1%D0%BE%D1%82%D1%82_%D0%B8_%D0%9A%D0%BE%D1%81%D1%82%D0%B5%D0%BB%D0%BB%D0%BE_%D0%B2%D1%81%D1%82%D1%80%D0%B5%D1%87%D0%B0%D1%8E%D1%82_%D0%B4%D0%BE%D0%BA%D1%82%D0%BE%D1%80%D0%B0_%D0%94%D0%B6%D0%B5%D0%BA%D0%B8%D0%BB%D0%BB%D0%B0_%D0%B8_%D0%BC%D0%B8%D1%81%D1%82%D0%B5%D1%80%D0%B0_%D0%A5%D0%B0%D0%B9%D0%B4%D0%B0
Щорс,"военно, исторический",Александр Довженко Юлия Солнцева,СССР,1939,https://ru.wikipedia.org/wiki/%D0%A9%D0%BE%D1%80%D1%81_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Щит для убийства,фильм нуар,Эдмонд О’Брайен Говард У. Кох,США,1954,https://ru.wikipedia.org/wiki/%D0%A9%D0%B8%D1%82_%D0%B4%D0%BB%D1%8F_%D1%83%D0%B1%D0%B8%D0%B9%D1%81%D1%82%D0%B2%D0%B0
Щит Джургая,фильм-концерт,Семён Долидзе Давид Рондели,СССР,1944,https://ru.wikipedia.org/wiki/%D0%A9%D0%B8%D1%82_%D0%94%D0%B6%D1%83%D1%80%D0%B3%D0%B0%D1%8F
Щенок,"драма, семейный фильм",Мария Евстафьева,Россия,2009,https://ru.wikipedia.org/wiki/%D0%A9%D0%B5%D0%BD%D0%BE%D0%BA_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Щит Беллеро,фантастика,Джон Брахм,США,1964,https://ru.wikipedia.org/wiki/%D0%A9%D0%B8%D1%82_%D0%91%D0%B5%D0%BB%D0%BB%D0%B5%D1%80%D0%BE
Щепотка перца,драма,Тассос Булметис,Греция,2003,https://ru.wikipedia.org/wiki/%D0%A9%D0%B5%D0%BF%D0%BE%D1%82%D0%BA%D0%B0_%D0%BF%D0%B5%D1%80%D1%86%D0%B0
Щепка,"эротика, триллер, драма, мелодрама",Филлип Нойс,США,1993,https://ru.wikipedia.org/wiki/%D0%A9%D0%B5%D0%BF%D0%BA%D0%B0_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Эгрегор,"приключения, мистика",Станислав Капралов Любомир Левицкий,Украина Польша США,2021,https://ru.wikipedia.org/wiki/%D0%AD%D0%B3%D1%80%D0%B5%D0%B3%D0%BE%D1%80_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Щелкунчик и четыре королевства,"фэнтези, приключения, семейный",Лассе Халльстрём Джо Джонстон,США,2018,https://ru.wikipedia.org/wiki/%D0%A9%D0%B5%D0%BB%D0%BA%D1%83%D0%BD%D1%87%D0%B8%D0%BA_%D0%B8_%D1%87%D0%B5%D1%82%D1%8B%D1%80%D0%B5_%D0%BA%D0%BE%D1%80%D0%BE%D0%BB%D0%B5%D0%B2%D1%81%D1%82%D0%B2%D0%B0
Щелкунчик и Крысиный Король,"семейный фильм, фэнтези, приключения",Андрей Кончаловский,Россия Великобритания Венгрия,2010,https://ru.wikipedia.org/wiki/%D0%A9%D0%B5%D0%BB%D0%BA%D1%83%D0%BD%D1%87%D0%B8%D0%BA_%D0%B8_%D0%9A%D1%80%D1%8B%D1%81%D0%B8%D0%BD%D1%8B%D0%B9_%D0%9A%D0%BE%D1%80%D0%BE%D0%BB%D1%8C
Экстрамен,комедия,Шари Спрингер Бермен Роберт Пульчини,"США , Франция",2010,https://ru.wikipedia.org/wiki/%D0%AD%D0%BA%D1%81%D1%82%D1%80%D0%B0%D0%BC%D0%B5%D0%BD
Щекотка,драма,"Андреа Бескон , Эрик Метайе",Франция,2018,"https://ru.wikipedia.org/wiki/%D0%A9%D0%B5%D0%BA%D0%BE%D1%82%D0%BA%D0%B0_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_2018)"
Эль-Аламейн: Линия огня,"драма, военный",Энцо Монтелеоне,Италия,2002,https://ru.wikipedia.org/wiki/%D0%AD%D0%BB%D1%8C-%D0%90%D0%BB%D0%B0%D0%BC%D0%B5%D0%B9%D0%BD_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Эль Сид,драма,Энтони Манн,США Италия,1961,https://ru.wikipedia.org/wiki/%D0%AD%D0%BB%D1%8C_%D0%A1%D0%B8%D0%B4_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Эльдорадо,авангард,Марсель Л’Эрбье,Франция,1921,"https://ru.wikipedia.org/wiki/%D0%AD%D0%BB%D1%8C%D0%B4%D0%BE%D1%80%D0%B0%D0%B4%D0%BE_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1921)"
Эльвира — повелительница тьмы 2,комедия,Сэм Ирвин,США,2001,https://ru.wikipedia.org/wiki/%D0%AD%D0%BB%D1%8C%D0%B2%D0%B8%D1%80%D0%B0_%E2%80%94_%D0%BF%D0%BE%D0%B2%D0%B5%D0%BB%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D0%B8%D1%86%D0%B0_%D1%82%D1%8C%D0%BC%D1%8B_2
Эльвира Мадиган,мелодрама,Бу Видерберг,Швеция,1967,https://ru.wikipedia.org/wiki/%D0%AD%D0%BB%D1%8C%D0%B2%D0%B8%D1%80%D0%B0_%D0%9C%D0%B0%D0%B4%D0%B8%D0%B3%D0%B0%D0%BD_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Эльвира — повелительница тьмы,комедия,Джеймс Синьорелли,США,1988,https://ru.wikipedia.org/wiki/%D0%AD%D0%BB%D1%8C%D0%B2%D0%B8%D1%80%D0%B0_%E2%80%94_%D0%BF%D0%BE%D0%B2%D0%B5%D0%BB%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D0%B8%D1%86%D0%B0_%D1%82%D1%8C%D0%BC%D1%8B
Элли Паркер,"драма, комедия",Скотт Коффи,США,2005,https://ru.wikipedia.org/wiki/%D0%AD%D0%BB%D0%BB%D0%B8_%D0%9F%D0%B0%D1%80%D0%BA%D0%B5%D1%80
Элфи,драма,Льюис Гилберт,Великобритания,1966,https://ru.wikipedia.org/wiki/%D0%AD%D0%BB%D1%84%D0%B8
Элла Маккей,комедийный фильм,Джеймс Л. Брукс,США,2025,https://ru.wikipedia.org/wiki/%D0%AD%D0%BB%D0%BB%D0%B0_%D0%9C%D0%B0%D0%BA%D0%BA%D0%B5%D0%B9
Эллери Куин и идеальное преступление,"детективный фильм, комедия",Джеймс П. Хоган,США,1941,https://ru.wikipedia.org/wiki/%D0%AD%D0%BB%D0%BB%D0%B5%D1%80%D0%B8_%D0%9A%D1%83%D0%B8%D0%BD_%D0%B8_%D0%B8%D0%B4%D0%B5%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE%D0%B5_%D0%BF%D1%80%D0%B5%D1%81%D1%82%D1%83%D0%BF%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5
"Эллери Куин, мастерский детектив","детективный фильм, комедия",Курт Нойман,США,1940,"https://ru.wikipedia.org/wiki/%D0%AD%D0%BB%D0%BB%D0%B5%D1%80%D0%B8_%D0%9A%D1%83%D0%B8%D0%BD,_%D0%BC%D0%B0%D1%81%D1%82%D0%B5%D1%80%D1%81%D0%BA%D0%B8%D0%B9_%D0%B4%D0%B5%D1%82%D0%B5%D0%BA%D1%82%D0%B8%D0%B2"
Элитный отряд 2,"боевик, криминальный фильм, драма",Жозе Падилья,Бразилия,2010,https://ru.wikipedia.org/wiki/%D0%AD%D0%BB%D0%B8%D1%82%D0%BD%D1%8B%D0%B9_%D0%BE%D1%82%D1%80%D1%8F%D0%B4_2
Элмер Гантри,драма,Ричард Брукс,США,1960,https://ru.wikipedia.org/wiki/%D0%AD%D0%BB%D0%BC%D0%B5%D1%80_%D0%93%D0%B0%D0%BD%D1%82%D1%80%D0%B8_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Элитное общество,"криминальная, драма",София Коппола,США Великобритания Япония Германия Франция,2013,https://ru.wikipedia.org/wiki/%D0%AD%D0%BB%D0%B8%D1%82%D0%BD%D0%BE%D0%B5_%D0%BE%D0%B1%D1%89%D0%B5%D1%81%D1%82%D0%B2%D0%BE
Элита Убийц,"боевик, триллер",Сэм Пекинпа,США,1975,https://ru.wikipedia.org/wiki/%D0%AD%D0%BB%D0%B8%D1%82%D0%B0_%D1%83%D0%B1%D0%B8%D0%B9%D1%86
Элитный отряд,"драма, боевик",Жозе Падилья,Бразилия,2007,https://ru.wikipedia.org/wiki/%D0%AD%D0%BB%D0%B8%D1%82%D0%BD%D1%8B%D0%B9_%D0%BE%D1%82%D1%80%D1%8F%D0%B4_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
"Этот жестокий, никчёмный парень","психологическая, драма",Януш Насфетер,Польша,1972,"https://ru.wikipedia.org/wiki/%D0%AD%D1%82%D0%BE%D1%82_%D0%B6%D0%B5%D1%81%D1%82%D0%BE%D0%BA%D0%B8%D0%B9,_%D0%BD%D0%B8%D0%BA%D1%87%D1%91%D0%BC%D0%BD%D1%8B%D0%B9_%D0%BF%D0%B0%D1%80%D0%B5%D0%BD%D1%8C"
Этот негодяй Сидоров,комедия,Валентин Горлов,СССР,1983,https://ru.wikipedia.org/wiki/%D0%AD%D1%82%D0%BE%D1%82_%D0%BD%D0%B5%D0%B3%D0%BE%D0%B4%D1%8F%D0%B9_%D0%A1%D0%B8%D0%B4%D0%BE%D1%80%D0%BE%D0%B2
Этот замечательный мир,"криминальный фильм, комедия, мелодрама",В. С. ван Дайк,США,1939,https://ru.wikipedia.org/wiki/%D0%AD%D1%82%D0%BE%D1%82_%D0%B7%D0%B0%D0%BC%D0%B5%D1%87%D0%B0%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9_%D0%BC%D0%B8%D1%80
Эммануэль,"эротика, порнографии, мелодрама",Жюст Жакен,Франция,1974,"https://ru.wikipedia.org/wiki/%D0%AD%D0%BC%D0%BC%D0%B0%D0%BD%D1%83%D1%8D%D0%BB%D1%8C_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1974)"
Этот безумный круиз,"комедия, семейный",Майкл Гроссман,США,2015,https://ru.wikipedia.org/wiki/%D0%AD%D1%82%D0%BE%D1%82_%D0%B1%D0%B5%D0%B7%D1%83%D0%BC%D0%BD%D1%8B%D0%B9_%D0%BA%D1%80%D1%83%D0%B8%D0%B7
Этот жестокий век,"драматический фильм,",Рене Клеман,Франция США Италия,1957,https://ru.wikipedia.org/wiki/%D0%AD%D1%82%D0%BE%D1%82_%D0%B6%D0%B5%D1%81%D1%82%D0%BE%D0%BA%D0%B8%D0%B9_%D0%B2%D0%B5%D0%BA
Элисо,"драма, исторический фильм, экранизация",Николай Шенгелая,СССР,1928,https://ru.wikipedia.org/wiki/%D0%AD%D0%BB%D0%B8%D1%81%D0%BE_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Этому быть!,"комедийная драма, бадди-муви",Александр Жольен Бернар Кампан,Франция Швейцария,2021,https://ru.wikipedia.org/wiki/%D0%AD%D1%82%D0%BE%D0%BC%D1%83_%D0%B1%D1%8B%D1%82%D1%8C!
Этот красавчик Браммелл,"драма, исторический фильм",Филиппа Лоуторп,Великобритания,2006,https://ru.wikipedia.org/wiki/%D0%AD%D1%82%D0%BE%D1%82_%D0%BA%D1%80%D0%B0%D1%81%D0%B0%D0%B2%D1%87%D0%B8%D0%BA_%D0%91%D1%80%D0%B0%D0%BC%D0%BC%D0%B5%D0%BB%D0%BB
Это убийство,комедийный фильм,Сэм Рэйми,США,1977,https://ru.wikipedia.org/wiki/%D0%AD%D1%82%D0%BE_%D1%83%D0%B1%D0%B8%D0%B9%D1%81%D1%82%D0%B2%D0%BE
Это старое чувство,"комедия, драма",Карл Райнер,США,1997,https://ru.wikipedia.org/wiki/%D0%AD%D1%82%D0%BE_%D1%81%D1%82%D0%B0%D1%80%D0%BE%D0%B5_%D1%87%D1%83%D0%B2%D1%81%D1%82%D0%B2%D0%BE
Этой ночи жена,драма,Ясудзиро Одзу,Япония,1930,https://ru.wikipedia.org/wiki/%D0%AD%D1%82%D0%BE%D0%B9_%D0%BD%D0%BE%D1%87%D0%B8_%D0%B6%D0%B5%D0%BD%D0%B0
"Это, блин, рождественское чудо","комедия, драма",Тристрам Шапиро,США,2014,"https://ru.wikipedia.org/wiki/%D0%AD%D1%82%D0%BE,_%D0%B1%D0%BB%D0%B8%D0%BD,_%D1%80%D0%BE%D0%B6%D0%B4%D0%B5%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D1%81%D0%BA%D0%BE%D0%B5_%D1%87%D1%83%D0%B4%D0%BE"
Однажды на Статен-Айленд,драматический фильм,Джеймс Демонако,США,2021,https://ru.wikipedia.org/wiki/%D0%AD%D1%82%D0%BE%D0%B9_%D0%BD%D0%BE%D1%87%D1%8C%D1%8E
Это Элвис,"фильм-биография, документальный фильм, музыкальный фильм, саундтрек",Малкольм Лео Эндрю Солт,США,1981,https://ru.wikipedia.org/wiki/%D0%AD%D1%82%D0%BE_%D0%AD%D0%BB%D0%B2%D0%B8%D1%81_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Это случилось однажды ночью,"романтическая комедия, роуд-муви, комедия о возобновлении брака",Фрэнк Капра,США,1934,https://ru.wikipedia.org/wiki/%D0%AD%D1%82%D0%BE_%D1%81%D0%BB%D1%83%D1%87%D0%B8%D0%BB%D0%BE%D1%81%D1%8C_%D0%BE%D0%B4%D0%BD%D0%B0%D0%B6%D0%B4%D1%8B_%D0%BD%D0%BE%D1%87%D1%8C%D1%8E
Это случилось на Пятой авеню,романтическая комедия,Рой Дель Рут,США,1947,https://ru.wikipedia.org/wiki/%D0%AD%D1%82%D0%BE_%D1%81%D0%BB%D1%83%D1%87%D0%B8%D0%BB%D0%BE%D1%81%D1%8C_%D0%BD%D0%B0_%D0%9F%D1%8F%D1%82%D0%BE%D0%B9_%D0%B0%D0%B2%D0%B5%D0%BD%D1%8E
Юхан-скиталец,"детский, драматический",Грета Саломонсен,Норвегия,2010,https://ru.wikipedia.org/wiki/%D0%AE%D1%85%D0%B0%D0%BD-%D1%81%D0%BA%D0%B8%D1%82%D0%B0%D0%BB%D0%B5%D1%86
Юха,"комедия, драма, мелодрама",Аки Каурисмяки,Финляндия,1999,https://ru.wikipedia.org/wiki/%D0%AE%D1%85%D0%B0_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Юрьев день,драма,Кирилл Серебренников,Россия,2008,https://ru.wikipedia.org/wiki/%D0%AE%D1%80%D1%8C%D0%B5%D0%B2_%D0%B4%D0%B5%D0%BD%D1%8C_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Это случилось на Всемирной выставке,"комедия, мюзикл, мелодрама",Норман Таурог,США,1963,https://ru.wikipedia.org/wiki/%D0%AD%D1%82%D0%BE_%D1%81%D0%BB%D1%83%D1%87%D0%B8%D0%BB%D0%BE%D1%81%D1%8C_%D0%BD%D0%B0_%D0%92%D1%81%D0%B5%D0%BC%D0%B8%D1%80%D0%BD%D0%BE%D0%B9_%D0%B2%D1%8B%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B5
Юрий Гагарин,документальный,Юрий Сальников,СССР,1969,https://ru.wikipedia.org/wiki/%D0%AE%D1%80%D0%B8%D0%B9_%D0%93%D0%B0%D0%B3%D0%B0%D1%80%D0%B8%D0%BD_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Юрка — сын командира,драма,Николай Лукьянов,СССР,1984,https://ru.wikipedia.org/wiki/%D0%AE%D1%80%D0%BA%D0%B0_%E2%80%94_%D1%81%D1%8B%D0%BD_%D0%BA%D0%BE%D0%BC%D0%B0%D0%BD%D0%B4%D0%B8%D1%80%D0%B0
Юра дворник,драмеди,Виталий Дудка,Россия,2023,https://ru.wikipedia.org/wiki/%D0%AE%D1%80%D0%B0_%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA
Юный экзорцист,комедия,Грант Остин Уолдман,США,1994,https://ru.wikipedia.org/wiki/%D0%AE%D0%BD%D1%8B%D0%B9_%D1%8D%D0%BA%D0%B7%D0%BE%D1%80%D1%86%D0%B8%D1%81%D1%82
Юный Фриц,сатира,Григорий Козинцев Леонид Трауберг,СССР,1943,https://ru.wikipedia.org/wiki/%D0%AE%D0%BD%D1%8B%D0%B9_%D0%A4%D1%80%D0%B8%D1%86_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Юппи-ду,"рок-мюзикл, поп, рок","Адриано Челентано , Мики Дель Прете",Италия,1975,https://ru.wikipedia.org/wiki/%D0%AE%D0%BF%D0%BF%D0%B8-%D0%B4%D1%83
Юный преступник,"драма, боевик",Чжан Чэ Гуй Чжихун,Гонконг,1973,https://ru.wikipedia.org/wiki/%D0%AE%D0%BD%D1%8B%D0%B9_%D0%BF%D1%80%D0%B5%D1%81%D1%82%D1%83%D0%BF%D0%BD%D0%B8%D0%BA
Юный детектив,"комедийная драма, детектив",Ивэн Морган,Канада,2020,https://ru.wikipedia.org/wiki/%D0%AE%D0%BD%D1%8B%D0%B9_%D0%B4%D0%B5%D1%82%D0%B5%D0%BA%D1%82%D0%B8%D0%B2
Юные дикари,"криминальная, драма",Джон Франкенхаймер,США,1961,https://ru.wikipedia.org/wiki/%D0%AE%D0%BD%D1%8B%D0%B5_%D0%B4%D0%B8%D0%BA%D0%B0%D1%80%D0%B8
Юные бизнесмены,комедия,Жан Бодри,Канада,1992,https://ru.wikipedia.org/wiki/%D0%AE%D0%BD%D1%8B%D0%B5_%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81%D0%BC%D0%B5%D0%BD%D1%8B
Юные сердца,история взросления,Энтони Схаттеман,Бельгия Нидерланды,2024,https://ru.wikipedia.org/wiki/%D0%AE%D0%BD%D1%8B%D0%B5_%D1%81%D0%B5%D1%80%D0%B4%D1%86%D0%B0
Юность Петра,"фильм-биография, исторический фильм",Сергей Герасимов,СССР ГДР,1980,https://ru.wikipedia.org/wiki/%D0%AE%D0%BD%D0%BE%D1%81%D1%82%D1%8C_%D0%9F%D0%B5%D1%82%D1%80%D0%B0
Юность командиров,"военный фильм, приключения",Владимир Вайншток,СССР,1939,https://ru.wikipedia.org/wiki/%D0%AE%D0%BD%D0%BE%D1%81%D1%82%D1%8C_%D0%BA%D0%BE%D0%BC%D0%B0%D0%BD%D0%B4%D0%B8%D1%80%D0%BE%D0%B2
Юность Виктора Варгаса,драма,Питер Соллетт,США,2002,https://ru.wikipedia.org/wiki/%D0%AE%D0%BD%D0%BE%D1%81%D1%82%D1%8C_%D0%92%D0%B8%D0%BA%D1%82%D0%BE%D1%80%D0%B0_%D0%92%D0%B0%D1%80%D0%B3%D0%B0%D1%81%D0%B0
Янки,мелодрама,Джон Шлезингер,США Великобритания,1979,https://ru.wikipedia.org/wiki/%D0%AF%D0%BD%D0%BA%D0%B8_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Юность Максима,"драма, пропаганда",Григорий Козинцев Леонид Трауберг,СССР,1934,https://ru.wikipedia.org/wiki/%D0%AE%D0%BD%D0%BE%D1%81%D1%82%D1%8C_%D0%9C%D0%B0%D0%BA%D1%81%D0%B8%D0%BC%D0%B0
Юность Бемби,"фильм, сказка, экранизация",Наталья Бондарчук,СССР,1986,https://ru.wikipedia.org/wiki/%D0%AE%D0%BD%D0%BE%D1%81%D1%82%D1%8C_%D0%91%D0%B5%D0%BC%D0%B1%D0%B8
Янгер и Янгер,"комедия, драма, фэнтези, музыкальный фильм, мелодрама",Перси Адлон,Германия США,1993,https://ru.wikipedia.org/wiki/%D0%AF%D0%BD%D0%B3%D0%B5%D1%80_%D0%B8_%D0%AF%D0%BD%D0%B3%D0%B5%D1%80
Январь — март,драма,Юрий Речинский,Украина Австрия,2017,https://ru.wikipedia.org/wiki/%D0%AF%D0%BD%D0%B2%D0%B0%D1%80%D1%8C_%E2%80%94_%D0%BC%D0%B0%D1%80%D1%82
Январский человек,триллер,Пэт О’Коннор,США,1989,https://ru.wikipedia.org/wiki/%D0%AF%D0%BD%D0%B2%D0%B0%D1%80%D1%81%D0%BA%D0%B8%D0%B9_%D1%87%D0%B5%D0%BB%D0%BE%D0%B2%D0%B5%D0%BA
Яна+Янко,"комедия, семейный фильм",Наталья Меркулова,Россия,2017,https://ru.wikipedia.org/wiki/%D0%AF%D0%BD%D0%B0%2B%D0%AF%D0%BD%D0%BA%D0%BE
Ян Жижка,"драма, военный фильм",Отакар Вавра,Чехословакия,1955,https://ru.wikipedia.org/wiki/%D0%AF%D0%BD_%D0%96%D0%B8%D0%B6%D0%BA%D0%B0_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Ян Гус,"исторический фильм, , драматический фильм,",Иржи Свобода,Чехия,2015,"https://ru.wikipedia.org/wiki/%D0%AF%D0%BD_%D0%93%D1%83%D1%81_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_2015)"
Ян Гус,"драма, биографический",Отакар Вавра,Чехословакия,1954,https://ru.wikipedia.org/wiki/%D0%AF%D0%BD_%D0%93%D1%83%D1%81_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Ямакаси: Новые самураи,"драма, боевик, криминальный фильм, хип-хоп",Ариель Зейтун,Франция Франция,2001,https://ru.wikipedia.org/wiki/%D0%AF%D0%BC%D0%B0%D0%BA%D0%B0%D1%81%D0%B8:_%D0%9D%D0%BE%D0%B2%D1%8B%D0%B5_%D1%81%D0%B0%D0%BC%D1%83%D1%80%D0%B0%D0%B8
"Ямщик, не гони лошадей",драма,Евгений Бауэр,Российская империя,1916,"https://ru.wikipedia.org/wiki/%D0%AF%D0%BC%D1%89%D0%B8%D0%BA,_%D0%BD%D0%B5_%D0%B3%D0%BE%D0%BD%D0%B8_%D0%BB%D0%BE%D1%88%D0%B0%D0%B4%D0%B5%D0%B9_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)"
Яма,драма,Светлана Ильинская,СССР Швеция,1990,"https://ru.wikipedia.org/wiki/%D0%AF%D0%BC%D0%B0_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1990)"
Ян Го и Маленькая Девушка-дракон,"боевик, фэнтези",Хуа Шань,Гонконг,1983,https://ru.wikipedia.org/wiki/%D0%AF%D0%BD_%D0%93%D0%BE_%D0%B8_%D0%9C%D0%B0%D0%BB%D0%B5%D0%BD%D1%8C%D0%BA%D0%B0%D1%8F_%D0%94%D0%B5%D0%B2%D1%83%D1%88%D0%BA%D0%B0-%D0%B4%D1%80%D0%B0%D0%BA%D0%BE%D0%BD
